month,commodity_name,avg_modal_price
2012-06-01,wheat,1256.77
2012-06-01,ginger(dry),2738.9
2012-06-01,cotton,3637.65
2012-06-01,coffee,12875.7
2012-06-01,barley (jau),1115.44
2012-06-01,tea,15940.4
2012-06-01,millets,1250.0
2012-06-01,sugar,3164.47
2012-06-01,groundnut,4123.09
2012-06-01,jowar(sorghum),1482.42
2012-06-01,rice,2070.5
2012-06-01,coconut,3138.32
2012-06-01,sunflower,2961.41
2012-06-01,sugarcane,1100.0
2012-07-01,groundnut,4305.29
2012-07-01,turmeric,4784.01
2012-07-01,wheat,1326.82
2012-07-01,jowar(sorghum),1574.11
2012-07-01,tea,18359.55
2012-07-01,maize,1180.79
2012-07-01,sunflower,3260.85
2012-07-01,coconut,3243.04
2012-07-01,rice,2130.28
2012-07-01,cotton,4123.47
2012-07-01,coffee,13008.94
2012-07-01,ginger(dry),2950.07
2012-07-01,barley (jau),1168.15
2012-07-01,sugar,3334.35
2012-07-01,millets,708.33
2012-08-01,turmeric,5706.22
2012-08-01,sugarcane,300.0
2012-08-01,barley (jau),1173.46
2012-08-01,groundnut,4497.28
2012-08-01,sugar,3606.52
2012-08-01,jowar(sorghum),1601.88
2012-08-01,millets,611.9
2012-08-01,coconut,3356.72
2012-08-01,tea,13700.19
2012-08-01,rice,2166.2
2012-08-01,maize,1241.63
2012-08-01,ginger(dry),3183.47
2012-08-01,wheat,1448.42
2012-08-01,sunflower,3472.2
2012-08-01,cotton,4188.39
2012-08-01,coffee,12202.08
2012-09-01,jowar(sorghum),1539.17
2012-09-01,rice,2193.84
2012-09-01,cotton,3803.1
2012-09-01,tea,16937.26
2012-09-01,maize,1260.12
2012-09-01,coconut,3163.97
2012-09-01,groundnut,4360.07
2012-09-01,turmeric,5748.5
2012-09-01,barley (jau),1105.66
2012-09-01,coffee,15289.31
2012-09-01,sugar,3754.41
2012-09-01,wheat,1495.97
2012-09-01,millets,884.38
2012-09-01,sunflower,3560.07
2012-09-01,ginger(dry),3022.47
2012-10-01,turmeric,5275.98
2012-10-01,barley (jau),1110.79
2012-10-01,sugar,3766.15
2012-10-01,sunflower,3336.56
2012-10-01,cotton,4040.61
2012-10-01,tea,14821.55
2012-10-01,jowar(sorghum),1398.77
2012-10-01,coffee,19178.79
2012-10-01,groundnut,4499.49
2012-10-01,coconut,3104.97
2012-10-01,millets,666.67
2012-10-01,maize,1221.77
2012-10-01,wheat,1462.5
2012-10-01,ginger(dry),3133.97
2012-10-01,rice,2235.47
2012-11-01,jowar(sorghum),1427.22
2012-11-01,sugarcane,836.67
2012-11-01,groundnut,4790.87
2012-11-01,coffee,18234.46
2012-11-01,maize,1249.83
2012-11-01,coconut,3159.51
2012-11-01,wheat,1536.78
2012-11-01,millets,1075.0
2012-11-01,ginger(dry),3627.01
2012-11-01,sugar,3742.9
2012-11-01,barley (jau),1174.37
2012-11-01,turmeric,5212.5
2012-11-01,tea,15654.47
2012-11-01,cotton,4117.67
2012-11-01,sunflower,3414.01
2012-11-01,rice,2231.56
2012-12-01,cotton,4054.95
2012-12-01,sugar,3711.89
2012-12-01,ginger(dry),3656.09
2012-12-01,coffee,13094.1
2012-12-01,maize,1319.59
2012-12-01,groundnut,4859.07
2012-12-01,wheat,1551.28
2012-12-01,sunflower,3410.66
2012-12-01,sugarcane,1357.14
2012-12-01,barley (jau),1228.6
2012-12-01,jowar(sorghum),1541.25
2012-12-01,tea,15476.95
2012-12-01,rice,2258.15
2012-12-01,coconut,3174.07
2012-12-01,turmeric,5272.93
2013-01-01,coconut,3394.23
2013-01-01,groundnut,4744.37
2013-01-01,turmeric,5419.3
2013-01-01,sunflower,3305.78
2013-01-01,sugarcane,688.75
2013-01-01,barley (jau),1240.47
2013-01-01,coffee,12764.73
2013-01-01,rice,2275.42
2013-01-01,jowar(sorghum),1553.77
2013-01-01,maize,1319.1
2013-01-01,sugar,3565.4
2013-01-01,tea,15721.08
2013-01-01,ginger(dry),3666.11
2013-01-01,cotton,4039.66
2013-01-01,wheat,1564.73
2013-02-01,sugar,3522.21
2013-02-01,groundnut,4670.25
2013-02-01,tea,17281.01
2013-02-01,sugarcane,325.56
2013-02-01,rice,2332.25
2013-02-01,sunflower,3348.26
2013-02-01,coffee,12475.26
2013-02-01,millets,1257.14
2013-02-01,wheat,1598.55
2013-02-01,coconut,3382.42
2013-02-01,barley (jau),1260.57
2013-02-01,jowar(sorghum),1550.21
2013-02-01,cotton,4144.82
2013-02-01,turmeric,5673.5
2013-02-01,ginger(dry),3835.21
2013-02-01,maize,1310.48
2013-03-01,wheat,1558.58
2013-03-01,sugar,3519.61
2013-03-01,groundnut,4503.89
2013-03-01,coconut,3576.47
2013-03-01,rice,2361.41
2013-03-01,turmeric,6321.59
2013-03-01,coffee,12587.31
2013-03-01,ginger(dry),4344.42
2013-03-01,cotton,4475.12
2013-03-01,sunflower,3346.84
2013-03-01,millets,2425.0
2013-03-01,tea,15172.04
2013-03-01,barley (jau),1197.75
2013-03-01,maize,1310.69
2013-03-01,sugarcane,425.0
2013-03-01,jowar(sorghum),1624.84
2013-04-01,coffee,12885.91
2013-04-01,ginger(dry),5616.91
2013-04-01,sunflower,3353.2
2013-04-01,sugar,3474.79
2013-04-01,tea,15371.9
2013-04-01,coconut,3563.39
2013-04-01,turmeric,6867.0
2013-04-01,jowar(sorghum),1596.95
2013-04-01,rice,2344.48
2013-04-01,cotton,4414.25
2013-04-01,millets,2091.67
2013-04-01,maize,1296.86
2013-04-01,sugarcane,682.41
2013-04-01,wheat,1504.9
2013-04-01,groundnut,4487.56
2013-04-01,barley (jau),1134.86
2013-05-01,coconut,3446.46
2013-05-01,sunflower,3345.55
2013-05-01,wheat,1534.63
2013-05-01,turmeric,6312.31
2013-05-01,sugar,3459.56
2013-05-01,millets,1113.33
2013-05-01,ginger(dry),8478.08
2013-05-01,rice,2398.4
2013-05-01,barley (jau),1137.95
